tcu-horned-frogs,CFB,2628,tcu-horned-frogs,tcu-horned-frogs,,4,TCU,Horned Frogs,4d1979,ffffff,0
north-carolina-tar-heels,CFB,153,north-carolina-tar-heels,north-carolina-tar-heels,,1,North Carolina,Tar Heels,7bafd4,13294b,0
stanford-cardinal,CFB,24,stanford-cardinal,stanford-cardinal,,1,Stanford,Cardinal,8c1515,ffffff,0
hawaii-rainbow-warriors,CFB,62,hawaii-rainbow-warriors,hawaii-rainbow-warriors,,17,Hawai'i,Rainbow Warriors,005737,000000,0
virginia-cavaliers,CFB,258,virginia-cavaliers,virginia-cavaliers,,1,Virginia,Cavaliers,f84c1e,232d4b,0
nc-state-wolfpack,CFB,152,nc-state-wolfpack,nc-state-wolfpack,,1,NC State,Wolfpack,cc0000,ffffff,0
florida-state-seminoles,CFB,52,florida-state-seminoles,florida-state-seminoles,,1,Florida State,Seminoles,782f40,ceb888,0
new-mexico-state-aggies,CFB,166,new-mexico-state-aggies,new-mexico-state-aggies,,12,New Mexico State,Aggies,7e141b,231f20,0
ucf-knights,CFB,2116,ucf-knights,ucf-knights,,4,UCF,Knights,000000,b4a169,0
bethune-cookman-wildcats,CFB,2065,bethunecookman-wildcats,bethune-cookman-wildcats,,33,Bethune-Cookman,Wildcats,7b1831,e9aa12,0
utah-utes,CFB,254,utah-utes,utah-utes,,4,Utah,Utes,be0000,ffffff,0
idaho-vandals,CFB,70,idaho-vandals,idaho-vandals,,20,Idaho,Vandals,000000,8c6e4a,0
georgia-tech-yellow-jackets,CFB,59,georgia-tech-yellow-jackets,georgia-tech-yellow-jackets,,1,Georgia Tech,Yellow Jackets,b3a369,ffffff,0
colorado-buffaloes,CFB,38,colorado-buffaloes,colorado-buffaloes,,4,Colorado,Buffaloes,cfb87c,000000,0
wake-forest-demon-deacons,CFB,154,wake-forest-demon-deacons,wake-forest-demon-deacons,,1,Wake Forest,Demon Deacons,ceb888,2c2a29,0
akron-zips,CFB,2006,akron-zips,akron-zips,,15,Akron,Zips,041e42,c5b783,0
minnesota-golden-gophers,CFB,135,minnesota-golden-gophers,minnesota-golden-gophers,,5,Minnesota,Golden Gophers,5e0a2f,fab41c,0
eastern-illinois-panthers,CFB,2197,eastern-illinois-panthers,eastern-illinois-panthers,,179,Eastern Illinois,Panthers,000000,bebab9,0
rutgers-scarlet-knights,CFB,164,rutgers-scarlet-knights,rutgers-scarlet-knights,,5,Rutgers,Scarlet Knights,ce0e2d,ffffff,0
massachusetts-minutemen,CFB,113,massachusetts-minutemen,massachusetts-minutemen,,15,Massachusetts,Minutemen,881c1c,ffffff,0
kansas-jayhawks,CFB,2305,kansas-jayhawks,kansas-jayhawks,,4,Kansas,Jayhawks,0051ba,e8000d,0
long-island-university-sharks,CFB,2341,liu-sharks,long-island-university-sharks,,25,Long Island University,Sharks,,,0
stanford-cardinal,CFB,24,stanford-cardinal,stanford-cardinal,,1,Stanford,Cardinal,8c1515,ffffff,0
miami-hurricanes,CFB,2390,miami-fla-hurricanes,miami-hurricanes,,1,Miami,Hurricanes,f47423,035131,0
alabama-crimson-tide,CFB,333,alabama-crimson-tide,alabama-crimson-tide,,8,Alabama,Crimson Tide,9e1b32,ffffff,0
east-carolina-pirates,CFB,151,east-carolina-pirates,east-carolina-pirates,,151,East Carolina,Pirates,582c83,ffc72c,0
arkansas-razorbacks,CFB,8,arkansas-razorbacks,arkansas-razorbacks,,8,Arkansas,Razorbacks,a32136,ffffff,0
north-alabama-lions,CFB,2453,north-alabama-lions,north-alabama-lions,,177,North Alabama,Lions,000000,,0
